ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason
2026-04-11T01:38:47.298753+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.14,"asset=KXBTC15M, spot_now=72913.9650, spot_5m=72955.0600, secs_left=1327379, sigma=0.20, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_31s
2026-04-11T01:38:47.299214+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.6950, spot_5m=2244.2500, secs_left=1327378, sigma=0.25, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_47s
2026-04-11T01:38:50.177465+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.6450, spot_5m=72955.0600, secs_left=1327375, sigma=0.23, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_28s
2026-04-11T01:38:50.178190+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.4150, spot_5m=2244.2500, secs_left=1327375, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_44s
2026-04-11T01:38:53.952505+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.6450, spot_5m=72955.0600, secs_left=1327372, sigma=0.23, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_24s
2026-04-11T01:38:53.953320+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.3850, spot_5m=2244.2500, secs_left=1327372, sigma=0.30, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_40s
2026-04-11T01:38:56.937921+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72892.5750, spot_5m=72955.0600, secs_left=1327369, sigma=0.28, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_21s
2026-04-11T01:38:56.938657+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.2050, spot_5m=2244.2500, secs_left=1327368, sigma=0.33, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_37s
2026-04-11T01:39:00.523879+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8450, spot_5m=72955.0600, secs_left=1327365, sigma=0.29, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_17s
2026-04-11T01:39:00.524653+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.2050, spot_5m=2244.2500, secs_left=1327365, sigma=0.33, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_34s
2026-04-11T01:39:03.519136+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8450, spot_5m=72948.2300, secs_left=1327362, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_14s
